Unnamed: 0,level_0,index,submission_id,need_state,sub_cluster_init,macro_pillar,created_at,open_text,l1,l2,ontology_codes,tm_needs,needs_from_ontology,needs,location_name,weights,needs list,mood_coded,where_are_you_having_your_food_drink,activities_while_consuming,created_at_grouped,level1_ontology_from_pepsi_bev_3_1,level3_ontology_from_pepsi_bev_3_1,SB_needstates,global_subcluster_number,global_subcluster_name
791,791,791,16230429,Indulge,6.0,Indulge,2021-01-21 21:03:50.543,"[""Am chilling and relaxing after 8 hour shift"", ""Am chilling and relaxing after 8 hour shift"", ""Am chilling and relaxing after 8 hour shift""]","[""after 8 hour shift"", ""whilst chilling"", ""i like to relax in front of""]","[""NOISE""]","[""To relax / relieve stress / anxiety""]","[""NOISE""]","[""To relax & unwind""]","[""To relax & unwind""]",UK,2.4239439906651112,['To relax & unwind'],"[""Annoyed / frustrated""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Hot beverages""]","[""Hot chocolate""]",Unwind,25,Comfort
792,792,792,16231188,Health,1.0,Health,2021-01-21 21:31:46.794,"[""refreshing and low calorie drink"", ""refreshing and low calorie drink""]","[""To refresh"", ""low calorie""]","[""low in calories"", ""To refresh""]","[""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Low in (/zero) calories""]","[""To rehydrate my body""]","[""To feel energised / recharged"", ""Low in (/zero) calories""]",UK,2.2853173050568105,"['To feel energised / recharged', 'Low in (/zero) calories']","[""Hopeful / optimistic""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Hot beverages""]","[""Other herbal / fruit tea""]",Revive,14,Enhance
793,793,793,16231310,Connection,1.0,Connection,2021-01-21 21:27:56 +0000,"[""I love red wine""]","[""fancy a glass of wine""]","[""fancy a glass of wine""]","[""I like the taste""]","[""To have something that is fun or playful""]","[""Is tasty""]","[""To have something that is fun or playful""]",UK,0.5506313393691219,['To have something that is fun or playful'],"[""Neutral / fine""]",At my home,"[""Listening to music""]",9pm-12am,"[""Wine""]","[""Cabernet Sauvignon""]",Social Enabler,4,Jolly Time
794,794,794,16260342,Fuel,4.0,Fuel,2021-01-22 13:58:15.254,"[""wanted something hot and caffeinated to give me some energy. Also it isn't Christmas anymore but love gingerbread drinks"", ""wanted something hot and caffeinated to give me some energy. Also it isn't Christmas anymore but love gingerbread drinks"", ""wanted something hot and caffeinated to give me some energy. Also it isn't Christmas anymore but love gingerbread drinks""]","[""christmas time"", ""wanted something hot"", ""did something with caffeine""]","[""caffeine related""]","[""To boost energy"", ""I wanted something hot""]","[""Has caffeine""]","[""Gives me a boost / energy"", ""Warms me up""]","[""Has caffeine""]",UK,0.1211971995332555,['Has caffeine'],"[""Bored""]",At my home,Other,12pm-3pm,"[""Hot beverages""]","[""Latte / cafe au lait""]",Revive,6,Enhance
795,795,795,16264517,Health,5.0,Health,2021-01-22 16:16:57.175,"[""I like a good cup of tea, feeling a bit cold amd dehydrated"", ""I like a good cup of tea, feeling a bit cold amd dehydrated"", ""I like a good cup of tea, feeling a bit cold amd dehydrated""]","[""Wanted something cold"", ""tea is"", ""i’m dehydrated""]","[""tea""]","[""I wanted something hot""]","[""Is nutritious / healthy""]","[""Warms me up""]","[""Is nutritious / healthy""]",UK,0.725325487548365,['Is nutritious / healthy'],"[""Anxious / stressed""]",At my home,"[""Working"", ""On my laptop / phone""]",3pm-6pm,"[""Hot beverages""]","[""Black tea""]",Supplements my Nutrition,12,Nutrition Rich
796,796,796,16264549,Connection,3.0,Connection,2021-01-22 16:44:05.239,"[""my daughter and I needed a snack. it's too early for dinner so we opted for snacks and hot drinks"", ""my daughter and I needed a snack. it's too early for dinner so we opted for snacks and hot drinks"", ""my daughter and I needed a snack. it's too early for dinner so we opted for snacks and hot drinks""]","[""needed a snack"", ""so we opted for snacks"", ""early in the morning""]","[""NOISE""]","[""To treat myself""]","[""NOISE""]","[""To reward myself""]","[""To reward myself""]",UK,0.5010323929380291,['To reward myself'],"[""Tired / exhausted""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Hot beverages""]","[""Hot chocolate""]",Ease the mood,1,Reward
797,797,797,16264621,Fuel,4.0,Fuel,2021-01-22 16:17:08.811,"[""to warm me up, homely, trying not to have too much caffeine""]","[""did something with caffeine""]","[""caffeine related""]","[""I wanted something hot""]","[""Has caffeine""]","[""Warms me up""]","[""Has caffeine""]",UK,1.0824616616279,['Has caffeine'],"[""Relaxed / calm""]",At my home,"[""Browsing social media / internet""]",3pm-6pm,"[""Hot beverages""]",,Revive,6,Enhance
798,798,798,16264633,Fuel,5.0,Fuel,2021-01-23 13:39:47.057,"[""it was cold in my fridge""]","[""all i got cold in the fridge""]","[""all i got in the fridge""]","[""I wanted something cold / refreshing""]","[""Is readily available""]","[""Is refreshing""]","[""Is readily available""]",UK,0.2600809681167715,['Is readily available'],"[""Content / upbeat""]",At my home,"[""On my laptop / phone""]",12pm-3pm,"[""Soft drinks""]","[""Energy drink""]",Routine,9,Easy Fuel
799,799,799,16264656,Indulge,0.0,Indulge,2021-01-23 10:06:44.064,"[""because the drink i like the most is a hot mug of tea""]","[""because the drink i like the most is a hot mug of tea""]","[""NOISE""]","[""I wanted something hot""]","[""NOISE""]","[""Warms me up""]","[""Warms me up""]",UK,0.3995830820457932,['Warms me up'],"[""Great / amazing"", ""Hopeful / optimistic""]",At my home,"[""Browsing social media / internet"", ""Checking emails"", ""Doing housework / chores"", ""On my laptop / phone""]",9am-12pm,"[""Hot beverages""]","[""White tea""]",Unwind,25,Comfort
800,800,800,16264659,Indulge,4.0,Indulge,2021-01-23 09:20:41.299,"[""It\u2019s sweet, chilled and contains vitamins"", ""It\u2019s sweet, chilled and contains vitamins"", ""It\u2019s sweet, chilled and contains vitamins""]","[""there are vitamins in the drink"", ""chilled"", ""Wanted sweet""]","[""there are vitamins in the drink"", ""wanted something sweet""]","[""It's a healthy choice""]","[""To indulge"", ""Contains vitamins or minerals""]","[""Is nutritious / healthy""]","[""To indulge"", ""Contains vitamins or minerals""]",UK,0.2298283454983593,"['To indulge', 'Contains vitamins or minerals']","[""Content / upbeat""]",At my home,"[""Browsing social media / internet""]",9am-12pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Sensible,0,NOISE
801,801,801,16264705,Hydrate,1.0,Health,2021-01-22 16:18:28.898,"[""I like the taste of it and I was thirsty"", ""I like the taste of it and I was thirsty""]","[""has taste"", ""i was really thirsty""]","[""has taste"", ""i was really thirsty""]","[""I like the taste"", ""I had a craving""]","[""Is tasty"", ""To quench my thirst""]","[""Is tasty"", ""To indulge""]","[""Is tasty"", ""To quench my thirst""]",UK,0.4898828059209955,"['Is tasty', 'To quench my thirst']","[""Content / upbeat""]",At my home,"[""Working""]",3pm-6pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Healthy Hydration Levels,11,Hydrate
802,802,802,16264738,Connection,3.0,Connection,2021-01-22 16:20:05.269,"[""It\u2019s my favourite and I drink it almost every day"", ""It\u2019s my favourite and I drink it almost every day""]","[""now i drink something every hour or so"", ""i chose this drink because it is one of my favorite drinks""]","[""because it is one of my favorite drinks"", ""drink it regularly""]","[""I like the taste"", ""It's my habit / routine""]","[""To reward myself"", ""It's my habit / routine""]","[""Is tasty"", ""It's my habit / routine""]","[""To reward myself"", ""It's my habit / routine""]",UK,0.1211971995332555,"['To reward myself', ""It's my habit / routine""]","[""Bored""]",At my home,Other,3pm-6pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Ease the mood,1,Reward
803,803,803,16264750,Hydrate,6.0,Hydrate,2021-01-22 16:21:54.494,"[""it's the only cold drink I have in stock until I get paid on Monday"", ""it's the only cold drink I have in stock until I get paid on Monday""]","[""cold drink"", ""only these""]","[""cold drink""]","[""I wanted something cold / refreshing""]","[""Is good for cooling down""]","[""Is refreshing""]","[""Is good for cooling down""]",UK,0.1222455610150045,['Is good for cooling down'],"[""Great / amazing""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Soft drinks""]","[""Other juice""]",Soothe,18,Cool Down
804,804,804,16264754,Health,5.0,Health,2021-01-22 16:29:46.128,"[""As I was thirsty and my throat was dry so I wanted a juice that\u2019s quite sweet and has a nice flavour and this juice met all my requirements"", ""As I was thirsty and my throat was dry so I wanted a juice that\u2019s quite sweet and has a nice flavour and this juice met all my requirements"", ""As I was thirsty and my throat was dry so I wanted a juice that\u2019s quite sweet and has a nice flavour and this juice met all my requirements"", ""As I was thirsty and my throat was dry so I wanted a juice that\u2019s quite sweet and has a nice flavour and this juice met all my requirements""]","[""wanted grant juice"", ""throat is sore"", ""Wanted sweet""]","[""wanted something sweet"", ""wanted juice"", ""good for my throat""]","[""I like the taste"", ""I had a craving""]","[""To indulge"", ""Is nutritious / healthy""]","[""Is tasty"", ""To indulge""]","[""To indulge"", ""Is nutritious / healthy""]",UK,0.2981747859498354,"['To indulge', 'Is nutritious / healthy']","[""Anxious / stressed""]",At my home,"[""Listening to music""]",3pm-6pm,"[""Soft drinks""]","[""Mixed fruit & vegetable juices""]",Keeps health balanced,37,Sure & Easy
805,805,805,16264799,Health,5.0,Health,2021-01-22 16:21:26.050,"[""I want a nice hot cup of tea to help my mood""]","[""tea is""]","[""tea""]","[""I wanted something hot"", ""To boost mood / feel good""]","[""Is nutritious / healthy""]","[""Warms me up"", ""To feel good about myself""]","[""Is nutritious / healthy""]",UK,0.9538844499240752,['Is nutritious / healthy'],"[""Bored"", ""Tired / exhausted""]",At my home,"[""Cooking""]",3pm-6pm,"[""Dairy / plant-based beverages""]","[""Cow's milk""]",Supplements my Nutrition,12,Nutrition Rich
806,806,806,16264834,Indulge,0.0,Indulge,2021-01-22 16:33:56.668,"[""I wanted something hot and always have a coffee in the afternoon"", ""I wanted something hot and always have a coffee in the afternoon""]","[""usually take coffee"", ""wanted something hot""]","[""NOISE""]","[""I wanted something hot""]","[""NOISE""]","[""Warms me up""]","[""Warms me up""]",UK,0.1211971995332555,['Warms me up'],"[""Relaxed / calm""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Hot beverages""]",,Unwind,25,Comfort
807,807,807,16264839,Hydrate,1.0,Hydrate,2021-01-22 16:23:57.120,"[""just really thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,2.3300156515846826,['To quench my thirst'],"[""Neutral / fine""]",At my home,"[""Nothing""]",3pm-6pm,Dairy / plant-based beverages,,Refresh,17,Thirst Quench
808,808,808,16264913,Indulge,0.0,Indulge,2021-01-22 16:25:28.725,"[""To keep warm""]","[""keep warm""]","[""NOISE""]","[""I wanted something hot""]","[""NOISE""]","[""Warms me up""]","[""Warms me up""]",UK,0.233914099884107,['Warms me up'],"[""Content / upbeat""]",At my home,"[""On my laptop / phone""]",3pm-6pm,"[""Hot beverages""]","[""White tea""]",Unwind,25,Comfort
809,809,809,16264914,Fuel,2.0,Fuel,2021-01-22 16:36:49.505,"[""it's a regular afternoon choice""]","[""cheaper than regular cola""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.1414251112081187,"[""It's my habit / routine""]","[""Content / upbeat""]",At my home,"[""Working""]",3pm-6pm,"[""Hot beverages""]","[""White tea""]",Routine,8,Daily Enabler
810,810,810,16264935,Hydrate,1.0,Hydrate,2021-01-22 16:37:59.547,"[""I was quite thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.6990589881553608,['To quench my thirst'],"[""Other""]",At my home,"[""Listening to music""]",3pm-6pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Refresh,17,Thirst Quench
811,811,811,16265001,Health,4.0,Health,2021-01-22 16:28:12.822,"[""because it is warm and I was feeling cold"", ""because it is warm and I was feeling cold""]","[""got a little hot"", ""feeling cold""]","[""wanted something to warm me up""]","[""I wanted something cold / refreshing""]","[""Prevents illness / strengthens immunity""]","[""Is refreshing""]","[""Prevents illness / strengthens immunity""]",UK,2.398394364737198,['Prevents illness / strengthens immunity'],"[""Neutral / fine""]",At my home,"[""Hobbies / other activities (e.g. gardening, knitting, etc.)""]",3pm-6pm,"[""Hot beverages""]","[""Other herbal / fruit tea""]",Keeps health balanced,30,Functional Health
812,812,812,16265010,Hydrate,4.0,Health,2021-01-22 16:26:49.634,"[""because i needed to hydrate""]","[""it is hydrating""]","[""it is hydrating""]","[""To feel refreshed / hydrated""]","[""To rehydrate my body""]","[""To rehydrate my body""]","[""To rehydrate my body""]",UK,2.403141839886773,['To rehydrate my body'],"[""Content / upbeat""]",Outdoors (e.g. in the park),"[""Talking / chatting""]",3pm-6pm,"[""Soft drinks""]","[""Tap water""]",Healthy Hydration Levels,11,Hydrate
813,813,813,16265038,Fuel,1.0,Fuel,2021-01-22 18:39:36.012,"[""I am so tired and sleepy and need to finish this report so this drink with caffeine will wake me up and give me the energy"", ""I am so tired and sleepy and need to finish this report so this drink with caffeine will wake me up and give me the energy"", ""I am so tired and sleepy and need to finish this report so this drink with caffeine will wake me up and give me the energy"", ""I am so tired and sleepy and need to finish this report so this drink with caffeine will wake me up and give me the energy""]","[""getting sleepy"", ""take my tiredness away"", ""needing to finish report"", ""did something with caffeine""]","[""take my tiredness away"", ""caffeine related""]","[""To boost energy""]","[""Has caffeine"", ""Gives me a boost / energy""]","[""Gives me a boost / energy""]","[""Has caffeine"", ""Gives me a boost / energy""]",UK,0.1211971995332555,"['Has caffeine', 'Gives me a boost / energy']","[""Anxious / stressed"", ""Tired / exhausted""]",At my home,"[""Working""]",6pm-9pm,"[""Soft drinks""]","[""Energy drink""]",Revive,7,Perk Up
814,814,814,16265051,Indulge,1.0,Indulge,2021-01-22 16:27:33.564,"[""I wanted something sweet""]","[""chose it because it is refreshing""]","[""wanted something sweet and refreshing""]","[""I like the taste""]","[""Is tasty""]","[""Is tasty""]","[""Is tasty""]",UK,0.1237143194168032,['Is tasty'],"[""Tired / exhausted""]",At my home,"[""Nothing""]",3pm-6pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Treat,20,Relish
815,815,815,16265061,Hydrate,4.0,Health,2021-01-22 16:27:41.022,"[""as it is hydrating and helps my skin"", ""as it is hydrating and helps my skin""]","[""should make skin beautiful"", ""it is hydrating""]","[""it is hydrating""]","[""To feel refreshed / hydrated""]","[""To rehydrate my body""]","[""To rehydrate my body""]","[""To rehydrate my body""]",UK,0.3066840332574422,['To rehydrate my body'],"[""Sad / depressed""]",At my home,"[""Doing housework / chores""]",3pm-6pm,"[""Soft drinks""]",,Healthy Hydration Levels,11,Hydrate
816,816,816,16265108,Hydrate,4.0,Health,2021-01-22 16:31:27.312,"[""It's refreshing and hydrating and I know it is good for you"", ""It's refreshing and hydrating and I know it is good for you"", ""It's refreshing and hydrating and I know it is good for you""]","[""To refresh"", ""good in times of covid"", ""it is hydrating""]","[""To refresh"", ""it is hydrating""]","[""It's a healthy choice"", ""To feel refreshed / hydrated""]","[""To rehydrate my body"", ""To feel energised / recharged""]","[""Is nutritious / healthy"", ""To rehydrate my body""]","[""To rehydrate my body"", ""To feel energised / recharged""]",UK,1.3130216892546316,"['To rehydrate my body', 'To feel energised / recharged']","[""Content / upbeat""]",At my home,"[""Relaxing / resting""]",3pm-6pm,"[""Soft drinks""]",,Revive,14,Enhance
817,817,817,16265130,Indulge,6.0,Indulge,2021-01-22 16:31:51.703,"[""I needed something hot and sweet to warm me up and something to relax me"", ""I needed something hot and sweet to warm me up and something to relax me""]","[""wanted something hot and sweet to warm me up"", ""i like to relax in front of""]","[""NOISE""]","[""I wanted something hot"", ""To relax / relieve stress / anxiety""]","[""NOISE""]","[""Warms me up"", ""To relax & unwind""]","[""Warms me up"", ""To relax & unwind""]",UK,0.6409070493685628,"['Warms me up', 'To relax & unwind']","[""Annoyed / frustrated"", ""Tired / exhausted""]",At my home,"[""Browsing social media / internet"", ""On my laptop / phone"", ""Watching movies / TV""]",3pm-6pm,"[""Hot beverages""]","[""White tea""]",Unwind,25,Comfort
818,818,818,16265144,Indulge,2.0,Indulge,2021-01-22 16:32:48.807,"[""Because it\u2019s a tasty and refreshing drink and it quenches my thirst"", ""Because it\u2019s a tasty and refreshing drink and it quenches my thirst""]","[""To refresh"", ""says that it is very tasty""]","[""it is very tasty"", ""To refresh""]","[""I like the taste"", ""I had a craving"", ""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is tasty""]","[""Is tasty"", ""To indulge"", ""To rehydrate my body""]","[""To feel energised / recharged"", ""Is tasty""]",UK,0.2605785269037771,"['To feel energised / recharged', 'Is tasty']","[""Content / upbeat""]",At my home,"[""Relaxing / resting"", ""Talking / chatting""]",3pm-6pm,"[""Soft drinks""]","[""Mixed fruit & vegetable juices""]",Explore,27,Happy Boost
819,819,819,16265171,Indulge,1.0,Indulge,2021-01-22 16:30:40.239,"[""I like the taste and I am also calorie counting so I like the fact it is carbonated with none of the calories."", ""I like the taste and I am also calorie counting so I like the fact it is carbonated with none of the calories."", ""I like the taste and I am also calorie counting so I like the fact it is carbonated with none of the calories.""]","[""has taste"", ""wanted to drink carbonated and sweet"", ""keeping calories""]","[""has taste"", ""wanted to drink carbonated and sweet""]","[""I like the taste""]","[""Is tasty"", ""High in carbohydrates""]","[""Is tasty""]","[""Is tasty"", ""High in carbohydrates""]",UK,0.1431564788723152,"['Is tasty', 'High in carbohydrates']","[""Content / upbeat"", ""Relaxed / calm"", ""Tired / exhausted""]",At my home,"[""Talking / chatting""]",3pm-6pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Treat,20,Relish
820,820,820,16265205,Indulge,1.0,Indulge,2021-01-22 16:34:14.539,"[""just wanted a drink of milk""]","[""a lot of milk""]","[""NOISE""]","[""I like the taste""]","[""NOISE""]","[""Is tasty""]","[""Is tasty""]",UK,0.9125971266896236,['Is tasty'],"[""Neutral / fine""]",At my home,"[""Watching movies / TV""]",3pm-6pm,Dairy / plant-based beverages,,Treat,20,Relish
821,821,821,16265278,Connection,2.0,Connection,2021-01-23 01:45:31.387,"[""its quick easy and fruity"", ""its quick easy and fruity"", ""its quick easy and fruity""]","[""easy to get drunk"", ""he does something to me that goes fast"", ""wanted to drink something fresh and fruity""]","[""easy to make or drink"", ""wanted to drink something fresh and fruity"", ""quick drink""]","[""Convenient / easy to prepare""]","[""Is nutritious / healthy"", ""Quick to prepare / drink"", ""To create a social atmosphere""]","[""Quick to prepare / drink""]","[""Is nutritious / healthy"", ""Quick to prepare / drink"", ""To create a social atmosphere""]",UK,0.2212211657697562,"['Is nutritious / healthy', 'Quick to prepare / drink', 'To create a social atmosphere']","[""Relaxed / calm"", ""Tired / exhausted""]",At my home,"[""Relaxing / resting"", ""Browsing social media / internet""]",12am-3am,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Social Enabler,5,Bonding through Sharing
822,822,822,16265289,Indulge,4.0,Indulge,2021-01-22 16:34:01.907,"[""I fancied something sugar free but sweet"", ""I fancied something sugar free but sweet""]","[""water or sugar-free"", ""Wanted sweet""]","[""sugar-free"", ""wanted something sweet""]","[""I had a craving""]","[""No / low sugar"", ""To indulge""]","[""To indulge""]","[""No / low sugar"", ""To indulge""]",UK,0.1211971995332555,"['No / low sugar', 'To indulge']","[""Content / upbeat""]",At my home,"[""Relaxing / resting""]",3pm-6pm,"[""Soft drinks""]","[""Energy drink""]",Sensible,0,NOISE
823,823,823,16265428,Indulge,4.0,Indulge,2021-01-22 16:40:36.203,"[""I had a craving for it""]","[""craving""]","[""craving""]","[""I had a craving""]","[""To indulge""]","[""To indulge""]","[""To indulge""]",UK,0.1418255281354759,['To indulge'],"[""Neutral / fine""]",At my home,Other,3pm-6pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Treat,21,Enjoy
824,824,824,16265448,Hydrate,7.0,Health,2021-01-22 16:38:09.918,"[""I wanted a cold and refreshing drink""]","[""i enjoy a cold drink""]","[""NOISE""]","[""I wanted something cold / refreshing"", ""To feel refreshed / hydrated""]","[""NOISE""]","[""Is refreshing"", ""To rehydrate my body""]","[""Is refreshing"", ""To rehydrate my body""]",UK,0.1211971995332555,"['Is refreshing', 'To rehydrate my body']","[""Content / upbeat"", ""Neutral / fine""]",At my home,"[""Reading""]",3pm-6pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Healthy Hydration Levels,11,Hydrate
825,825,825,16265473,Fuel,5.0,Fuel,2021-01-22 16:37:07.588,"[""Needed finishing up""]","[""so i wanted to finish it""]","[""NOISE""]","[""I needed to use up ingredients""]","[""NOISE""]","[""Is readily available""]","[""Is readily available""]",UK,0.1365354990616848,['Is readily available'],"[""Annoyed / frustrated"", ""Tired / exhausted""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Routine,9,Easy Fuel
826,826,826,16265481,NOISE,1.0,NOISE,2021-01-22 16:48:29.135,"[""It\u2019s been a long day, I\u2019m pregnant so I\u2019m not allowed to drink to much of it but I could use a pick me up"", ""It\u2019s been a long day, I\u2019m pregnant so I\u2019m not allowed to drink to much of it but I could use a pick me up"", ""It\u2019s been a long day, I\u2019m pregnant so I\u2019m not allowed to drink to much of it but I could use a pick me up""]","[""not drinking a beverage"", ""because i'm pregnant"", ""after a long day at""]","[""NOISE""]","[""Other""]","[""NOISE""]","[""Other""]","[""Other""]",UK,0.1213072265347595,['Other'],"[""Content / upbeat""]",At my home,"[""Cooking""]",3pm-6pm,"[""Hot beverages""]",,NOISE,0,NOISE
827,827,827,16265498,Health,1.0,Health,2021-01-22 16:42:44.171,"[""Wanted a cold refreshing sweet drink but without calories or sugar"", ""Wanted a cold refreshing sweet drink but without calories or sugar""]","[""To refresh"", ""the child's without sugar""]","[""To refresh"", ""low in sugar""]","[""To feel refreshed / hydrated""]","[""No / low sugar"", ""To feel energised / recharged""]","[""To rehydrate my body""]","[""No / low sugar"", ""To feel energised / recharged""]",UK,1.923239533593869,"['No / low sugar', 'To feel energised / recharged']","[""Great / amazing"", ""Excited""]",At my home,"[""Spending time with family"", ""Browsing social media / internet"", ""On my laptop / phone""]",3pm-6pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Revive,14,Enhance
828,828,828,16265536,Fuel,5.0,Fuel,2021-01-22 16:37:50.896,"[""it was what I had at home""]","[""i have it here""]","[""NOISE""]","[""It's the only thing available""]","[""NOISE""]","[""Is readily available""]","[""Is readily available""]",UK,0.1298498453184834,['Is readily available'],"[""Content / upbeat""]",At my home,"[""Nothing""]",3pm-6pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Routine,9,Easy Fuel
829,829,829,16265557,Indulge,4.0,Indulge,2021-01-22 16:55:35.505,"[""i feel like smth sweet""]","[""Wanted sweet""]","[""wanted something sweet""]","[""I had a craving""]","[""To indulge""]","[""To indulge""]","[""To indulge""]",UK,0.2551116316401254,['To indulge'],"[""Great / amazing""]",At my home,"[""Working""]",3pm-6pm,Dairy / plant-based beverages,,Treat,21,Enjoy
830,830,830,16265624,Hydrate,4.0,Health,2021-01-22 22:21:27.760,"[""it's healthy to stay hydrated with water throughout the day and have water before bed"", ""it's healthy to stay hydrated with water throughout the day and have water before bed"", ""it's healthy to stay hydrated with water throughout the day and have water before bed"", ""it's healthy to stay hydrated with water throughout the day and have water before bed""]","[""have water before bed"", ""today i drank water all day"", ""trying to eat healthy"", ""it is hydrating""]","[""trying to eat healthy"", ""it is hydrating""]","[""To feel refreshed / hydrated""]","[""To rehydrate my body"", ""Is nutritious / healthy""]","[""To rehydrate my body""]","[""To rehydrate my body"", ""Is nutritious / healthy""]",UK,1.9379317523616904,"['To rehydrate my body', 'Is nutritious / healthy']","[""Content / upbeat""]",At my home,"[""Relaxing / resting""]",9pm-12am,"[""Soft drinks""]","[""Unflavoured still water""]",Healthy Hydration Levels,11,Hydrate
831,831,831,16265638,Hydrate,1.0,Health,2021-01-22 18:34:10.287,"[""I\u2019m really thirsty and I wanted this drink"", ""I\u2019m really thirsty and I wanted this drink""]","[""i was really thirsty"", ""really like this drink""]","[""i was really thirsty"", ""really like this drink""]","[""I had a craving""]","[""Is tasty"", ""To quench my thirst""]","[""To indulge""]","[""Is tasty"", ""To quench my thirst""]",UK,0.1369013600263655,"['Is tasty', 'To quench my thirst']","[""Great / amazing""]",At my home,"[""Working""]",6pm-9pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Healthy Hydration Levels,11,Hydrate
832,832,832,16265645,Hydrate,6.0,Hydrate,2021-01-22 16:48:12.294,"[""It\u2019s a nice cold drink to put with my meal"", ""It\u2019s a nice cold drink to put with my meal""]","[""cold drink"", ""to put with meal""]","[""cold drink""]","[""I wanted something cold / refreshing"", ""To go with other food / drink""]","[""Is good for cooling down""]","[""Is refreshing"", ""Completes my meal""]","[""Is good for cooling down""]",UK,1.6445310843595724,['Is good for cooling down'],"[""Great / amazing""]",At my home,"[""Relaxing / resting""]",3pm-6pm,"[""Soft drinks""]","[""Other juice""]",Soothe,18,Cool Down
833,833,833,16265657,Indulge,4.0,Indulge,2021-01-23 15:04:13.240,"[""I fancied a fizzy drink""]","[""wanted a fizzy drink""]","[""wanted something fizzy""]","[""I had a craving""]","[""To indulge""]","[""To indulge""]","[""To indulge""]",UK,0.6955969727720026,['To indulge'],"[""Tired / exhausted""]",At my home,"[""On my laptop / phone""]",3pm-6pm,"[""Soft drinks""]","[""Flavoured sparkling water""]",Treat,21,Enjoy
834,834,834,16265758,Fuel,5.0,Fuel,2021-01-22 16:45:39.063,"[""Was on hand.""]","[""only had that on hand""]","[""NOISE""]","[""It's the only thing available""]","[""NOISE""]","[""Is readily available""]","[""Is readily available""]",UK,0.2471500195194007,['Is readily available'],"[""Tired / exhausted""]",At my home,"[""On my laptop / phone"", ""Browsing social media / internet"", ""Watching movies / TV""]",3pm-6pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Routine,9,Easy Fuel
835,835,835,16265832,Hydrate,1.0,Hydrate,2021-01-22 16:49:24.915,"[""Feeling thirsty. I thought a cuppa may do the trick and make me feel better"", ""Feeling thirsty. I thought a cuppa may do the trick and make me feel better"", ""Feeling thirsty. I thought a cuppa may do the trick and make me feel better""]","[""i was really thirsty"", ""so i trick in order to"", ""make me feel""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.1211971995332555,['To quench my thirst'],"[""Tired / exhausted""]",At my home,"[""Working""]",3pm-6pm,"[""Hot beverages""]","[""White tea""]",Refresh,17,Thirst Quench
836,836,836,16265896,Indulge,3.0,Indulge,2021-01-22 16:49:18.894,"[""i saw this flavour and wanted to try it"", ""i saw this flavour and wanted to try it""]","[""didn't know this flavor yet"", ""must try""]","[""flavorful"", ""wanted to try it""]","[""I like the taste""]","[""To explore something new""]","[""Is tasty""]","[""To explore something new""]",UK,0.1224531919071234,['To explore something new'],"[""Great / amazing"", ""Relaxed / calm"", ""Active / energetic""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Soft drinks""]","[""Energy drink""]",Explore,26,Explore
837,837,837,16266034,Health,0.0,Health,2021-01-22 16:53:21.520,"[""It was handy and low in calories"", ""It was handy and low in calories""]","[""low in calories"", ""it comes in handy""]","[""low in calories""]","[""Convenient / easy to prepare""]","[""Low in (/zero) calories""]","[""Quick to prepare / drink""]","[""Low in (/zero) calories""]",UK,0.2116998987438794,['Low in (/zero) calories'],"[""Content / upbeat""]",At my home,"[""On my laptop / phone""]",3pm-6pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Keeps health balanced,37,Sure & Easy
